source_en,approved_fi,decision_note
life shortening health conditions,TBD,Core SPICT-4ALL concept; do not collapse into terminal/end-of-life language.
palliative care,TBD,Must align with Finnish clinical usage and SPICT conceptual intent.
carer,TBD,Decide contextually: informal carer/family caregiver vs professional care staff.
care plan,TBD,Use Finnish healthcare terminology consistently.
frailty,TBD,Clinical concept; plain-language wording must still preserve meaning.
kidney dialysis,TBD,Keep patient-facing plain language while clinically correct.
breathing machine,TBD,Plain-language source term; avoid unnecessary jargon.
holistic care,TBD,"Includes symptom, emotional, social, functional, financial, spiritual and cultural domains."
quality of life,TBD,Preserve patient-centred meaning.
Power of Attorney,TBD,Local legal/cultural adaptation requires explicit expert decision if present in guidance.
