decision_id	human_decision	final_finnish_term	human_decision_note	decided_by	decision_date
T-001					
T-002	ACCEPT	elinikää lyhentävät terveydentilat	Explicit existing human project decision reported by Project Owner in WP-T1.2-HUMAN-REVIEW-REDUCTION-001; recorded 2026-09-07. Original decision date not supplied. No automatic glossary promotion or source-authority disposition.	Project Owner	
T-003					
T-004					
T-005					
T-006					
T-007					
T-008					
T-009					
T-010					
T-011					
T-012					
T-013	ACCEPT	hengityskone	Explicit existing human project decision reported by Project Owner in WP-T1.2-HUMAN-REVIEW-REDUCTION-001; recorded 2026-09-07. Original decision date not supplied. No automatic glossary promotion or source-authority disposition.	Project Owner	
T-014					
T-015					
T-016	ACCEPT	kokonaisvaltainen hoito	Explicit existing human project decision reported by Project Owner in WP-T1.2-HUMAN-REVIEW-REDUCTION-001; recorded 2026-09-07. Original decision date not supplied. No automatic glossary promotion or source-authority disposition.	Sami / domain expert	
T-017					
T-018					
T-019					
T-020					
T-021					
T-022					
T-023					
T-024					
T-025					
T-026					
T-027					
T-028					
T-029					
