decision_id	concept_en	exact_spict_context_en	source_unit_ids	clinical_risk	plain_language_risk	candidate_fi	candidate_origin	terminology_evidence_ids	terminology_source_ids	source_evidence_summary	model_semantic_mapping_note	conflict_status	alternative_fi	recommended_for_human_review	human_decision	human_decision_note	decided_by	decision_date	terveyskirjasto_evidence_ids	terveyskirjasto_terms	terveyskirjasto_evidence_status	evidence_after_enrichment	remaining_uncertainty
T-001	palliative care	"Supportive and Palliative Care Indicators Tool (SPICT-4ALL-……)

The person (or family) asks for palliative care; chooses to reduce, stop or not have treatment; or wishes to focus on quality of life.

Stopping kidney dialysis or choosing palliative care instead of starting dialysis."	S4A-2026-000|S4A-2026-009|S4A-2026-019	HIGH	HIGH	Palliatiivinen hoito	SOURCE_DERIVED_FINNISH_ONLY	TERM-EVID-PDF-004|TERM-EVID-PDF-007|TERM-EVID-PDF-005|TERM-EVID-PDF-008	TERM-SRC-002|TERM-SRC-003	TERM-EVID-PDF-004: Palliatiivinen hoito; English=NOT_PROVIDED; definition=NOT_PROVIDED | TERM-EVID-PDF-007: Palliatiivinen hoito; English=NOT_PROVIDED; definition=NOT_PROVIDED | TERM-EVID-PDF-005: saattohoito; English=NOT_PROVIDED; definition=NOT_PROVIDED | TERM-EVID-PDF-008: saattohoito; English=NOT_PROVIDED; definition=NOT_PROVIDED	MODEL_SEMANTIC_MAPPING: The two Finnish titles/keyword lists name palliative care and saattohoito separately but provide no extracted definition or English pair. The proposed correspondence is model interpretation; these fragments alone do not prove interchangeability or clinical scope. Ask the human team to prevent automatic substitution of saattohoito for every occurrence. The title still requires a separate source-authority disposition.	NO_REGISTERED_CONFLICT_LINKED; MODEL_MAPPING_UNADJUDICATED	saattohoito (source term for contrast only; not established as an equivalent)	MUST_DECIDE_BEFORE_G1					TERM-EVID-WEB-006-001	palliatiivinen	PARTIAL_OR_CONTEXTUAL	EXISTING_EVIDENCE_PLUS_CONTEXT	Adjektiivin määritelmä tukee oireita lievittävää merkitystä; ei määrittele koko palliatiivista hoitoa eikä tee siitä saattohoidon synonyymiä.
T-002	life shortening health conditions	"The SPICT helps us look for people who have life shortening health conditions and are less well. These people need more help and care now, and a plan for care in the future.

People who are less well with other life shortening physical or mental illnesses or health conditions. There is no treatment available or it will not work well."	S4A-2026-001|S4A-2026-042	HIGH	HIGH	elämää lyhentävät terveysongelmat	MODEL_PROPOSED_FROM_EVIDENCE	TERM-EVID-004-ROW-0079	TERM-SRC-004	TERM-EVID-004-ROW-0079: terveysongelma; English=NOT_PROVIDED; definition=present	MODEL_SEMANTIC_MAPPING: The Finnish definition of terveysongelma includes disease, symptom or another health deviation. The life-shortening modifier and the combined candidate are model-proposed, not supplied by that source. Preserve the life-shortening scope, physical/mental alternatives and absence of an asserted terminal phase.	NO_REGISTERED_CONFLICT_LINKED; MODEL_MAPPING_UNADJUDICATED		MUST_DECIDE_BEFORE_G1							NO_USEFUL_EVIDENCE	MODEL_PROPOSED_FROM_EVIDENCE	Haku ei tuottanut riittävän täsmällistä käsitemääritelmää. Elinajan lyheneminen, ennuste ja yksittäinen sairaus eivät ole automaattisesti sama käsite.
T-003	carer	"Person’s carer needs more help and support.

Start talking with the person and their family or carer about help needed now and why making plans is important in case things change."	S4A-2026-006|S4A-2026-046	HIGH	HIGH		NO_RELIABLE_TERMINOLOGY_EVIDENCE			No reliable correspondence found in the 136-entry set.	MODEL_SEMANTIC_MAPPING: No extracted entry establishes the role of a carer or a Finnish equivalent. Staff/professional/client entries do not establish this relationship. Ask whether the project needs a term that includes informal support without silently introducing an employment or formal caregiver-benefit status.	NO_REGISTERED_CONFLICT_LINKED; MODEL_MAPPING_UNADJUDICATED		MUST_DECIDE_BEFORE_G1					TERM-EVID-WEB-006-002	Omaishoitaja	PARTIAL_OR_CONTEXTUAL	STILL_INSUFFICIENT_PARTIAL_EVIDENCE	Omaishoitaja esiintyy sopimuksen ja palvelusuunnitelman yhteydessä. SPICT carer voi tarkoittaa laajempaa läheisen auttajan roolia; sopimusta ei saa lisätä edellytykseksi.
T-004	care plans / planning future care	"The SPICT helps us look for people who have life shortening health conditions and are less well. These people need more help and care now, and a plan for care in the future.

Start talking with the person and their family or carer about help needed now and why making plans is important in case things change.

Care plans are shared with staff who need to see them and kept up to date."	S4A-2026-001|S4A-2026-046|S4A-2026-051	MEDIUM	HIGH	hoitosuunnitelma	MODEL_PROPOSED_FROM_EVIDENCE	TERM-EVID-PDF-006|TERM-EVID-004-ROW-0017|TERM-EVID-004-ROW-0084	TERM-SRC-002|TERM-SRC-004	TERM-EVID-PDF-006: hoitosuunnitelma; English=SOURCE_EXPLICIT; definition=NOT_PROVIDED | TERM-EVID-004-ROW-0017: hoidon suunnittelu; English=NOT_PROVIDED; definition=present | TERM-EVID-004-ROW-0084: Tiedonhallintapalvelun terveys- ja hoitosuunnitelma; English=NOT_PROVIDED; definition=present	MODEL_SEMANTIC_MAPPING: The PDF explicitly pairs hoitosuunnitelma with advance care planning, not with the broader SPICT care plans. The CSV defines collaborative planning and a specific Kanta-related plan. Reusing the Finnish wording for SPICT is MODEL_SEMANTIC_MAPPING; neither advance care planning nor the named information-system document may be imposed on all SPICT plans. Preserve sharing, updates and contingency planning.	NO_REGISTERED_CONFLICT_LINKED; MODEL_MAPPING_UNADJUDICATED		MUST_DECIDE_BEFORE_G1					TERM-EVID-WEB-006-003	hoito- ja palvelusuunnitelma	PARTIAL_OR_CONTEXTUAL	EXISTING_EVIDENCE_PLUS_CONTEXT	Hoito- ja palvelusuunnitelma on kontekstuaalinen esimerkki. SPICT care plans ei rajaudu omaishoitoon eikä ole automaattisesti hoitotahto.
T-005	reduce, stop or not have treatment / stopping or not starting dialysis	"The person (or family) asks for palliative care; chooses to reduce, stop or not have treatment; or wishes to focus on quality of life.

Stopping kidney dialysis or choosing palliative care instead of starting dialysis.

Stopping or not starting dialysis"	S4A-2026-009|S4A-2026-019|S4A-2026-020	HIGH	HIGH	hoidon vähentäminen / hoidon lopettaminen / hoidon aloittamatta jättäminen	MODEL_PROPOSED_FROM_EVIDENCE	TERM-EVID-004-ROW-0021|TERM-EVID-004-ROW-0019	TERM-SRC-004	TERM-EVID-004-ROW-0021: hoito; English=NOT_PROVIDED; definition=present | TERM-EVID-004-ROW-0019: hoidon tavoite; English=NOT_PROVIDED; definition=present	MODEL_SEMANTIC_MAPPING: The source defines hoito broadly and collaborative goals. The three Finnish action labels are model constructions, not a source-provided equivalence. Preserve reduction, withdrawal and non-initiation as separate alternatives; preserve person/family agency and choosing palliative care instead of starting dialysis. A terminology decision cannot become a treatment recommendation.	NO_REGISTERED_CONFLICT_LINKED; MODEL_MAPPING_UNADJUDICATED		MUST_DECIDE_BEFORE_G1					TERM-EVID-WEB-006-004	DNAR-päätös	PARTIAL_OR_CONTEXTUAL	EXISTING_EVIDENCE_PLUS_CONTEXT	DNAR on rajattu elvytystä koskeva päätös eikä tarkoita kaiken hoidon lopettamista. Vähentäminen, lopettaminen ja aloittamatta jättäminen sekä henkilön valinnat on säilytettävä erillisinä.
T-006	kidney dialysis	"Stopping kidney dialysis or choosing palliative care instead of starting dialysis.

Stopping or not starting dialysis"	S4A-2026-019|S4A-2026-020	HIGH	MEDIUM		NO_RELIABLE_TERMINOLOGY_EVIDENCE			No reliable correspondence found in the 136-entry set.	MODEL_SEMANTIC_MAPPING: No dialysis entry or definition occurs in the 136-entry evidence set. General treatment terminology cannot identify the procedure. Human review should check the procedure term independently from the choices recorded in T-005.	NO_REGISTERED_CONFLICT_LINKED; MODEL_MAPPING_UNADJUDICATED		MAY_REMAIN_UNCONTROLLED_FOR_INDEPENDENT_AB					TERM-EVID-WEB-006-005;TERM-EVID-WEB-006-006	dialyysi;hemodialyysi	CORE_TERM_SUPPORTED	NEW_CORE_TERMINOLOGY_EVIDENCE_FOR_REVIEW	Dialyysi määritellään myös munuaisten vajaatoiminnan hoitona. Hemodialyysi on vertailuun tarkoitettu alalaji; sitä ei saa valita koko dialyysin vastineeksi.
T-007	quality of life	The person (or family) asks for palliative care; chooses to reduce, stop or not have treatment; or wishes to focus on quality of life.	S4A-2026-009	MEDIUM	HIGH		NO_RELIABLE_TERMINOLOGY_EVIDENCE			No reliable correspondence found in the 136-entry set.	MODEL_SEMANTIC_MAPPING: The extracted keyword laatu concerns a quality recommendation and does not establish quality of life. No reliable term/definition for this concept was extracted. Preserve the person or family wish to focus on quality of life without substituting service quality.	NO_REGISTERED_CONFLICT_LINKED; MODEL_MAPPING_UNADJUDICATED		MAY_REMAIN_UNCONTROLLED_FOR_INDEPENDENT_AB					TERM-EVID-WEB-006-007	elämänlaatu	PARTIAL_OR_CONTEXTUAL	STILL_INSUFFICIENT_PARTIAL_EVIDENCE	Elämänlaatu esiintyy terveyskäsitteen yhteydessä, mutta katkelma ei määrittele sitä kattavasti eikä anna englanninkielistä termiparia.
T-008	dementia	Dementia or frailty	S4A-2026-021	HIGH	HIGH		NO_RELIABLE_TERMINOLOGY_EVIDENCE			No reliable correspondence found in the 136-entry set.	MODEL_SEMANTIC_MAPPING: No dementia term or definition occurs in the extracted set. Preserve its distinction from frailty and the source alternative or; do not label every listed functional sign as a dementia diagnosis.	NO_REGISTERED_CONFLICT_LINKED; MODEL_MAPPING_UNADJUDICATED		MAY_REMAIN_UNCONTROLLED_FOR_INDEPENDENT_AB					TERM-EVID-WEB-006-008	dementia	CORE_TERM_SUPPORTED	NEW_CORE_TERMINOLOGY_EVIDENCE_FOR_REVIEW	Sanasto määrittelee dementian oireyhtymiksi. Lähteen vaihtoehtoinen ilmaus tylsistyminen ei ole suositus selkokieliseksi vastineeksi; ei pidä samastaa kaikkeen muistisairauteen.
T-009	frailty	Dementia or frailty	S4A-2026-021	HIGH	HIGH		NO_RELIABLE_TERMINOLOGY_EVIDENCE			No reliable correspondence found in the 136-entry set.	MODEL_SEMANTIC_MAPPING: No frailty term or definition occurs in the extracted set. General functional limitation or rehabilitation entries do not establish a frailty equivalent. Preserve its distinction from dementia; clinical review is needed before controlling a Finnish term.	NO_REGISTERED_CONFLICT_LINKED; MODEL_MAPPING_UNADJUDICATED		MAY_REMAIN_UNCONTROLLED_FOR_INDEPENDENT_AB					TERM-EVID-WEB-006-009	hauraus-raihnausoireyhtymä	PARTIAL_OR_CONTEXTUAL	STILL_INSUFFICIENT_PARTIAL_EVIDENCE	Hauraus-raihnausoireyhtymä/gerastenia määritellään vanhuuteen liittyväksi. SPICT frailty-käsitteen laajuus ja ymmärrettävyys vaativat asiantuntijapäätöksen; ikärajausta ei saa lisätä.
T-010	heart failure	Heart failure or heart blood vessel disease. Short of breath or has chest pain when resting, moving or walking a few steps.	S4A-2026-015	HIGH	MEDIUM		NO_RELIABLE_TERMINOLOGY_EVIDENCE			No reliable correspondence found in the 136-entry set.	MODEL_SEMANTIC_MAPPING: No heart-failure entry occurs in the extracted set. Preserve the alternative heart blood vessel disease and the symptom conditions at rest, movement or a few steps. A general heart-problem label is not evidence for this diagnosis.	NO_REGISTERED_CONFLICT_LINKED; MODEL_MAPPING_UNADJUDICATED		MAY_REMAIN_UNCONTROLLED_FOR_INDEPENDENT_AB					TERM-EVID-WEB-006-010	sydämen vajaatoiminta	CORE_TERM_SUPPORTED	NEW_CORE_TERMINOLOGY_EVIDENCE_FOR_REVIEW	Sydämen vajaatoiminta on lähteen hakusana. Vaikeusaste ja lähdelauseen ehdot on arvioitava erikseen; sydäninsuffisienssi on tekninen vertailutermi.
