unit_id	review_tier	source_text_en	current_candidate_fi	combined_review_priority	finding_status	existing_human_decision	domain_expert_review_recommended	source_authority_status	human_disposition	final_finnish	reviewer	reviewer_role	decision_rationale	decision_date
S4A-2026-000	TIER_2	Supportive and Palliative Care Indicators Tool (SPICT-4ALL-……)	Tukea antavan ja palliatiivisen hoidon tunnusmerkkityökalu (SPICT-4ALL-……)	LOW	CRITIC_B_ONLY		false	UNRESOLVED						
S4A-2026-001	TIER_1	The SPICT helps us look for people who have life shortening health conditions and are less well. These people need more help and care now, and a plan for care in the future.	SPICT auttaa meitä etsimään ihmisiä, joilla on elinikää lyhentäviä terveydentiloja ja joiden terveydentila on heikentynyt. Nämä ihmiset tarvitsevat nyt enemmän apua ja hoitoa sekä suunnitelman tulevasta hoidosta.	MEDIUM	CORROBORATED	Project Owner: less well -> terveydentila on heikentynyt. T-002: elinikää lyhentävät terveydentilat. Critics raised source-fidelity (current poorer state versus recorded deterioration). EXISTING_HUMAN_DECISION_REQUIRES_RECONSIDERATION_AT_G5. Do not auto-retain or overwrite.	false	CANONICAL						
S4A-2026-002	TIER_3	Does this person have signs of poor health or health problems that are getting worse?	Onko tällä henkilöllä merkkejä huonosta terveydentilasta tai terveysongelmia, jotka pahenevat?	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-003	TIER_2	Urgent or emergency hospital admission(s) or visits.	Kiireellinen tai päivystyksellinen sairaalaan otto(t) tai käynnit.	LOW	CRITIC_B_ONLY		false	CANONICAL						
S4A-2026-004	TIER_2	"Less able to manage usual activities; not as well as they used to be.
(Person often stays in bed or in a chair for more than half the day.)"	"Toimintakyky on heikentynyt tavanomaisissa toimissa; vointi ei ole yhtä hyvä kuin ennen.
(Henkilö viettää usein yli puolet päivästä vuoteessa tai tuolissa.)"	LOW	CRITIC_B_ONLY	Project Owner: less able to manage usual activities -> toimintakyky on heikentynyt.	false	CANONICAL						
S4A-2026-005	TIER_3	Needs more help and care from others due to increasing physical and/or mental health problems.	Tarvitsee muilta enemmän apua ja hoitoa lisääntyvien fyysisen terveyden ja/tai mielenterveyden ongelmien vuoksi.	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-006	TIER_3	Person’s carer needs more help and support.	Henkilöstä huolehtiva ihminen tarvitsee enemmän apua ja tukea.	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-007	TIER_3	Has clearly lost weight over the last few months; or stays too thin.	On selvästi laihtunut muutaman viime kuukauden aikana; tai pysyy liian laihana.	NONE	NO_CRITIC_ISSUE		false	CANONICAL						
S4A-2026-008	TIER_1	Has troublesome symptoms most of the time despite good treatment of their health problems.	Hänellä on hankalia oireita suurimman osan ajasta, vaikka hänen terveysongelmiaan hoidetaan hyvin.	MEDIUM	CRITIC_B_ONLY		false	CANONICAL						
S4A-2026-009	TIER_1	The person (or family) asks for palliative care; chooses to reduce, stop or not have treatment; or wishes to focus on quality of life.	Henkilö (tai perhe) pyytää palliatiivista hoitoa; valitsee hoidon vähentämisen, lopettamisen tai ottamatta jättämisen; tai toivoo keskittymistä elämänlaatuun.	MEDIUM	CORROBORATED		false	CANONICAL						
